USD-BTC: 2546.45, BTC-BTC: 1.0, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ETH: 304.092, BTC-ETH: 0.119798, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LTC: 41.3379, BTC-LTC: 0.0162852, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XRP: 0.266555, BTC-XRP: 0.00010501, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ETC: 19.0074, BTC-ETC: 0.00748803, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XEM: 0.16485, BTC-XEM: 0.00006494, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DASH: 179.982, BTC-DASH: 0.0709046, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MIOTA: 0.417058, BTC-MIOTA: 0.0001643, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BTS: 0.258472, BTC-BTS: 0.00010183, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XMR: 44.8486, BTC-XMR: 0.0176683, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-STRAT: 6.50895, BTC-STRAT: 0.00256422, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ZEC: 318.163, BTC-ZEC: 0.125342, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ANS: 9.75237, BTC-ANS: 0.00384198, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GNT: 0.52175, BTC-GNT: 0.00020555, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SC: 0.0151686, BTC-SC: 0.00000598, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-STEEM: 1.7497, BTC-STEEM: 0.0006893, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-WAVES: 3.95838, BTC-WAVES: 0.00155942, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BCN: 0.00205008, BTC-BCN: 0.00000081, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ICN: 4.14896, BTC-ICN: 0.0016345, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BCC: 51.5433, BTC-BCC: 0.0203057, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XLM: 0.0291479, BTC-XLM: 0.00001148, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-REP: 27.0237, BTC-REP: 0.0106461, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GNO: 267.565, BTC-GNO: 0.105408, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LSK: 2.68926, BTC-LSK: 0.00105944, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DOGE: 0.00266024, BTC-DOGE: 0.00000105, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GAME: 3.83856, BTC-GAME: 0.00151221, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-FCT: 25.4937, BTC-FCT: 0.0100433, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GBYTE: 867.368, BTC-GBYTE: 0.341703, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-USDT: 1.01897, BTC-USDT: 0.00040143, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ARDR: 0.218737, BTC-ARDR: 0.00008617, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MAID: 0.477722, BTC-MAID: 0.0001882, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-KMD: 1.80309, BTC-KMD: 0.00071033, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SNT: 0.0520139, BTC-SNT: 0.00002049, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DCR: 34.4955, BTC-DCR: 0.0135896, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DGB: 0.019741, BTC-DGB: 0.00000778, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VERI: 85.0697, BTC-VERI: 0.0335135, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NXT: 0.166768, BTC-NXT: 0.00006570, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DGD: 82.862, BTC-DGD: 0.0326438, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-1ST: 1.8076, BTC-1ST: 0.00071211, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BAT: 0.148695, BTC-BAT: 0.00005858, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BNT: 3.27042, BTC-BNT: 0.0012884, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MGO: 1.50954, BTC-MGO: 0.00059469, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SNGLS: 0.175961, BTC-SNGLS: 0.00006932, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-PIVX: 1.8718, BTC-PIVX: 0.0007374, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SYS: 0.189201, BTC-SYS: 0.00007454, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BTCD: 74.3071, BTC-BTCD: 0.0292735, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ANT: 2.68224, BTC-ANT: 0.00105668, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MCAP: 4.44986, BTC-MCAP: 0.00175304, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-UBQ: 1.76445, BTC-UBQ: 0.00069511, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EMC: 1.60612, BTC-EMC: 0.00063274, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-PPC: 2.57268, BTC-PPC: 0.00101352, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LKK: 0.377304, BTC-LKK: 0.00014864, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ARK: 0.604947, BTC-ARK: 0.00023832, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ROUND: 0.0637561, BTC-ROUND: 0.00002512, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-AMP: 0.640267, BTC-AMP: 0.00025224, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NMR: 42.7426, BTC-NMR: 0.0168386, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LEO: 0.604718, BTC-LEO: 0.00023823, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NXS: 1.00263, BTC-NXS: 0.00039499, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-RDD: 0.0017261, BTC-RDD: 0.00000068, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-RLC: 0.593999, BTC-RLC: 0.00023401, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-CLOAK: 9.25574, BTC-CLOAK: 0.00364633, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XAS: 0.623193, BTC-XAS: 0.00024551, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SJCX: 0.899013, BTC-SJCX: 0.00035417, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EDG: 0.557988, BTC-EDG: 0.00021982, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-OBITS: 2.66843, BTC-OBITS: 0.00105124, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MLN: 72.9711, BTC-MLN: 0.0287472, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LBC: 0.614895, BTC-LBC: 0.00024224, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-QRL: 0.805552, BTC-QRL: 0.00031735, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-WINGS: 0.446154, BTC-WINGS: 0.00017576, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BAY: 0.0395986, BTC-BAY: 0.00001560, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XVG: 0.0029696, BTC-XVG: 0.00000117, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NMC: 2.63298, BTC-NMC: 0.00103727, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MONA: 0.746264, BTC-MONA: 0.00029399, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XCP: 14.1854, BTC-XCP: 0.00558839, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-OMNI: 64.6568, BTC-OMNI: 0.0254718, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NLG: 0.101876, BTC-NLG: 0.00004013, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VIA: 1.5562, BTC-VIA: 0.00061307, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BLK: 0.461864, BTC-BLK: 0.00018195, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VSL: 1.04504, BTC-VSL: 0.0004117, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XEL: 0.469598, BTC-XEL: 0.000185, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XAUR: 0.259078, BTC-XAUR: 0.00010207, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XZC: 13.3471, BTC-XZC: 0.00525815, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MYST: 1.6038, BTC-MYST: 0.00063182, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BURST: 0.0172863, BTC-BURST: 0.00000681, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DICE: 4.37638, BTC-DICE: 0.00172409, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-PPY: 8.36728, BTC-PPY: 0.00329632, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VTC: 0.810081, BTC-VTC: 0.00031913, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-HMQ: 0.182805, BTC-HMQ: 0.00007202, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-AGRS: 0.681527, BTC-AGRS: 0.00026849, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BLOCK: 7.07548, BTC-BLOCK: 0.00278741, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EAC: 0.00290378, BTC-EAC: 0.00000114, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-TKN: 1.14524, BTC-TKN: 0.00045117, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-TRST: 0.276892, BTC-TRST: 0.00010908, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NAV: 0.415182, BTC-NAV: 0.00016356, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-UNITY: 30.3226, BTC-UNITY: 0.0119457, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-QAU: 0.29935, BTC-QAU: 0.00011793, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-YBC: 8.16434, BTC-YBC: 0.00321637, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BASH: 0.0352146, BTC-BASH: 0.00001387, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-CFI: 0.195491, BTC-CFI: 0.00007701, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-POT: 0.111901, BTC-POT: 0.00004408, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GRC: 0.0613372, BTC-GRC: 0.00002416, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EXP: 3.01126, BTC-EXP: 0.00118629, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-CRW: 1.5144, BTC-CRW: 0.00059661, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SHIFT: 1.96864, BTC-SHIFT: 0.00077555, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-WDC: 0.184271, BTC-WDC: 0.00007259, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SKY: 3.6313, BTC-SKY: 0.00143056, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GUP: 0.277727, BTC-GUP: 0.00010941, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SWT: 2.80527, BTC-SWT: 0.00110515, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-TAAS: 2.5103, BTC-TAAS: 0.00098894, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EDR: 0.0226214, BTC-EDR: 0.00000891, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-IOC: 1.19421, BTC-IOC: 0.00047046, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NEOS: 5.6667, BTC-NEOS: 0.00223242, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VRC: 0.623238, BTC-VRC: 0.00024553, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-RADS: 5.69414, BTC-RADS: 0.00224323, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XDN: 0.00266998, BTC-XDN: 0.00000105, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MOON: 0.0000799519, BTC-MOON: 0.00000003, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NXC: 0.263145, BTC-NXC: 0.00010367, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BCAP: 1.73496, BTC-BCAP: 0.0006835, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-QRK: 0.0691559, BTC-QRK: 0.00002724, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NVC: 9.74893, BTC-NVC: 0.00384062, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ENRG: 0.137294, BTC-ENRG: 0.00005409, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ION: 1.14229, BTC-ION: 0.00045001, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-EMC2: 0.0769058, BTC-EMC2: 0.00003030, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-UNY: 0.0797623, BTC-UNY: 0.00003142, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-NOTE: 0.128889, BTC-NOTE: 0.00005078, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SPHR: 5.07781, BTC-SPHR: 0.00200042, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-DTB: 0.684294, BTC-DTB: 0.00026958, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-TIME: 20.974, BTC-TIME: 0.0082628, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XBC: 152.09, BTC-XBC: 0.0599163, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XPM: 0.752165, BTC-XPM: 0.00029632, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SLS: 14.7072, BTC-SLS: 0.00579395, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-IFC: 0.000162417, BTC-IFC: 0.00000006, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-FAIR: 0.271606, BTC-FAIR: 0.000107, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-FTC: 0.0857068, BTC-FTC: 0.00003376, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-LMC: 0.0676467, BTC-LMC: 0.00002665, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VOX: 0.0658633, BTC-VOX: 0.00002595, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-HEAT: 0.50873, BTC-HEAT: 0.00020042, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MGC: 0.135536, BTC-MGC: 0.00005339, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BCY: 0.574595, BTC-BCY: 0.00022636, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-GOLOS: 0.104764, BTC-GOLOS: 0.00004127, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-PTOY: 0.183263, BTC-PTOY: 0.00007220, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-MUE: 0.102419, BTC-MUE: 0.00004035, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-FRST: 2.79118, BTC-FRST: 0.00109959, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-FLDC: 0.0252317, BTC-FLDC: 0.00000994, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-CLAM: 5.03409, BTC-CLAM: 0.0019832, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-PLU: 14.7749, BTC-PLU: 0.00582063, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-BITCNY: 0.145275, BTC-BITCNY: 0.00005723, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-VASH: 0.0307694, BTC-VASH: 0.00001212, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-SIB: 0.816555, BTC-SIB: 0.00032168, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-ECN: 3.92795, BTC-ECN: 0.00154743, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
USD-XCN: 0.0353151, BTC-XCN: 0.00001391, time: Thu Jun 29 2017 21:39:05 GMT-0400 (EDT), trackingStatus:
