symbol: 19, SP: 0.01750000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 22, SP: 0.00000850, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 24, SP: 0.00001917, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 18, SP: 0.01614998, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 23, SP: 0.00008000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 21, SP: 0.00000096, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 25, SP: 0.00012200, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 26, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 27, SP: 0.00009044, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 29, SP: 0.00001990, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 30, SP: 0.00009988, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 31, SP: 0.00030000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 32, SP: 0.00000950, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 34, SP: 0.00000995, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 35, SP: 0.00120000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 36, SP: 0.00000029, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 38, SP: 0.00000145, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 39, SP: 0.00002998, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 40, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 41, SP: 0.00003350, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 42, SP: 0.00000060, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 43, SP: 0.00004490, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 44, SP: 0.00000850, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 45, SP: 0.00004000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 46, SP: 0.00000236, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 47, SP: 0.00005500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 48, SP: 0.00000050, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 49, SP: 0.00000469, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 50, SP: 0.00000510, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 51, SP: 0.00004000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 53, SP: 0.00000590, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 54, SP: 0.00000011, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 55, SP: 0.00006300, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 56, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 57, SP: 0.00000500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 58, SP: 0.00000195, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 59, SP: 0.00000181, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 60, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 61, SP: 0.00000015, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 62, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 63, SP: 0.00000049, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 64, SP: 0.00001144, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 65, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 66, SP: 0.00000012, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 67, SP: 0.00450000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 68, SP: 0.00001000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 69, SP: 0.00000030, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 70, SP: 0.00000098, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 71, SP: 0.00148890, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 72, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 74, SP: 0.00005000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 75, SP: 0.00000849, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 76, SP: 0.00000013, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 77, SP: 0.00090000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 78, SP: 0.00003500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 79, SP: 0.00013700, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 80, SP: 0.00006500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
