symbol: BTC_BCN, SP: 0.00000090, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BELA, SP: 0.00009999, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_BLK, SP: 0.00014596, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_BTCD, SP: 0.02685664, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_BTM, SP: 0.00031619, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_BTS, SP: 0.00008448, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_BURST, SP: 0.00000601, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_CLAM, SP: 0.00181198, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_DASH, SP: 0.06940071, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_DOGE, SP: 0.00000095, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_DGB, SP: 0.00000648, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_EMC2, SP: 0.00002795, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_FLDC, SP: 0.00000835, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_FLO, SP: 0.00002905, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_GAME, SP: 0.00128202, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_GRC, SP: 0.00002277, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_HUC, SP: 0.00006258, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
