symbol: BCNBTC, SP: 0.0000009833, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus: 
symbol: BTCEUR, SP: 2100.01, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: BTCUSD, SP: 2348.47, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: DASHBTC, SP: 0.069396, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: DOGEBTC, SP: 0.000000942, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: DSHBTC, SP: 0.000012519, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: EMCBTC, SP: 0.00044306, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: ETHBTC, SP: 0.107675, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: FCNBTC, SP: 0.000034, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: LSKBTC, SP: 0.0009400, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: LTCBTC, SP: 0.01563, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: NXTBTC, SP: 0.00005418, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: QCNBTC, SP: 0.000008, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: SBDBTC, SP: 0.00046, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: SCBTC, SP: 0.000004620, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: STEEMBTC, SP: 0.00064, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XDNBTC, SP: 0.0000009168, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XEMBTC, SP: 0.00006112, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XMRBTC, SP: 0.017040, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: ARDRBTC, SP: 0.000073213, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: ZECBTC, SP: 0.112756, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: WAVESBTC, SP: 0.0014124, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: MAIDBTC, SP: 0.00017936, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: AMPBTC, SP: 0.00017000, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: BTUBTC, SP: 0.02901, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: DGDBTC, SP: 0.026506, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: ICNBTC, SP: 0.001488, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: SNGLSBTC, SP: 0.00005701, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: 1STBTC, SP: 0.000551, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XLCBTC, SP: 0.000049, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
