symbol: $$$/BTC, SP: 2.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: 1337/BTC, SP: 4e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: 42/BTC, SP: 3.30999979, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: 808/BTC, SP: 1.3e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: 888/BTC, SP: 8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: 8BIT/BTC, SP: 0.000062, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: AC/BTC, SP: 7.4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ACOIN/BTC, SP: 0.0000179, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ACP/BTC, SP: 0.00000142, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ADC/BTC, SP: 8.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ALEX/BTC, SP: 0.00001299, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ALL/BTC, SP: 0.00000725, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ALT/BTC, SP: 0.00829413, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: AMP/BTC, SP: 0.00019518, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ANI/BTC, SP: 4e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARC/BTC, SP: 0.0000057, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARCO/BTC, SP: 0.00001485, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARG/BTC, SP: 0.00000223, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARGUS/BTC, SP: 0.00000383, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARI/BTC, SP: 2.4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ARK/BTC, SP: 0.0002364, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ATMS/BTC, SP: 0.00002209, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ATOM/BTC, SP: 0.00001336, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: AU/BTC, SP: 0.00020583, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: AUR/BTC, SP: 0.00020901, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: B@/BTC, SP: 0.00044774, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: B3/BTC, SP: 0.00003172, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: BBR/BTC, SP: 0.00012072, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
