symbol: BTC_LTC, SP: 0.01589533, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_POT, SP: 0.00005950, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EMD, SP: 0.00000650, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_VTA, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_NYAN, SP: 0.00000064, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CDC, SP: 0.00000005, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_YACC, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CNC, SP: 0.00000286, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_DGB, SP: 0.00000731, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_TAG, SP: 0.00050881, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_GAME, SP: 0.00188892, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_AUR, SP: 0.00035914, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_QTL, SP: 0.00001193, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_MRS, SP: 0.00000060, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ANC, SP: 0.00064002, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_DGC, SP: 0.00004638, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_1CR, SP: 0.00020000, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_MOON, SP: 0.00000004, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BUN, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SONG, SP: 0.00000070, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EFL, SP: 0.00007018, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
